company_name,rating,reviews,company_type,locations
JK Cement,4.0,(3.6k),Building Material,New Delhi +328 other locations
Bharat Electronics,4.2,(3.6k),Electronics Manufacturing,Bangalore / Bengaluru +87 other locations
KPIT Technologies,3.0,(3.6k),Software Product,Pune +44 other locations
Cogent E Services,3.2,(3.6k),BPO,Noida +55 other locations
Sodexo,4.0,(3.6k),Facility Management Services,Mumbai +156 other locations
Kotak Mahindara Life Insurance,3.5,(3.6k),Insurance,Mumbai +256 other locations
Abbott,4.1,(3.6k),Pharma,Mumbai +214 other locations
Aarti Industries,4.1,(3.5k),Agro Chemicals,Bharuch +58 other locations
Ipca Laboratories,3.8,(3.5k),Pharma,Mumbai +160 other locations
Reliance Projects & Property Management Services,4.0,(3.5k),Other,Kolkata +618 other locations
Indian Oil Corporation,4.3,(3.5k),Oil & Gas,New Delhi +308 other locations
MRF Tyres,3.6,(3.5k),Auto Components,Chennai +193 other locations
Reliance Digital,4.2,(3.5k),Retail,Mumbai +378 other locations
Alkem Laboratories,3.9,(3.5k),Pharma,Mumbai +196 other locations
Johnson Controls,3.5,(3.4k),Industrial Automation,Pune +57 other locations
"NTT DATA, Inc.",3.9,(3.4k),IT Services & Consulting,Bangalore / Bengaluru +36 other locations
Cloudnine Hospital,4.4,(3.4k),Healthcare,Bangalore / Bengaluru +46 other locations
Honda Motorcycle & Scooter,4.1,(3.4k),Automobile,Gurgaon / Gurugram +299 other locations
PhonePe,4.1,(3.4k),FinTech,Bangalore / Bengaluru +391 other locations
IGT Solutions,3.2,(3.4k),BPO,New Delhi +47 other locations
UNO Minda,3.9,(3.4k),Auto Components,Pune +109 other locations
Vishal Mega Mart,3.8,(3.4k),Retail,New Delhi +377 other locations
Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage,Bangalore / Bengaluru +259 other locations
ArcelorMittal Nippon Steel,4.1,(3.4k),Iron & Steel,Surat +85 other locations
24/7 Customer,3.4,(3.4k),Software Product,Bangalore / Bengaluru +36 other locations
DTDC Express,3.7,(3.4k),Logistics,New Delhi +270 other locations
UBS,3.8,(3.4k),Financial Services,Pune +19 other locations
Ford Motor,4.2,(3.4k),Automobile,Chennai +130 other locations
Bajaj General Insurance Limited,3.7,(3.4k),Insurance,Pune +303 other locations
Reliance Nippon Life Insurance,3.4,(3.3k),Insurance,Mumbai +483 other locations
Ceat Tyres,3.9,(3.3k),Auto Components,Nagpur +140 other locations
ABB,4.1,(3.3k),Industrial Machinery,Bangalore / Bengaluru +107 other locations
RSPL Group,4.0,(3.3k),FMCG,Kanpur +256 other locations
HARMAN,3.8,(3.3k),Consumer Electronics & Appliances,Bangalore / Bengaluru +42 other locations
Blinkit,3.7,(3.3k),Internet,Gurgaon / Gurugram +145 other locations
Barclays,3.7,(3.3k),Banking,Pune +36 other locations
AGS Health,4.0,(3.3k),Analytics & KPO,Chennai +63 other locations
NatWest Group,4.0,(3.3k),Banking,Gurgaon / Gurugram +29 other locations
